name,total,Year,Month
Columbus Ave at 86th St.,51955,2021,5
Manhattan Bridge Bike Comprehensive,4684,2012,8
Manhattan Bridge Bike Comprehensive,121943,2012,9
Manhattan Bridge Bike Comprehensive,104489,2012,10
Manhattan Bridge Bike Comprehensive,115034,2012,11
Manhattan Bridge Bike Comprehensive,56814,2012,12
Manhattan Bridge Bike Comprehensive,13579,2013,1
Manhattan Bridge Bike Comprehensive,0,2013,2
Manhattan Bridge Bike Comprehensive,0,2013,3
Manhattan Bridge Bike Comprehensive,0,2013,4
Manhattan Bridge Bike Comprehensive,0,2013,5
Manhattan Bridge Bike Comprehensive,0,2013,6
Manhattan Bridge Bike Comprehensive,0,2013,7
Manhattan Bridge Bike Comprehensive,0,2013,8
Manhattan Bridge Bike Comprehensive,0,2013,9
Manhattan Bridge Bike Comprehensive,0,2013,10
Manhattan Bridge Bike Comprehensive,0,2013,11
Manhattan Bridge Bike Comprehensive,41501,2013,12
Manhattan Bridge Bike Comprehensive,32870,2014,1
Manhattan Bridge Bike Comprehensive,24666,2014,2
Manhattan Bridge Bike Comprehensive,56656,2014,3
Manhattan Bridge Bike Comprehensive,108953,2014,4
Manhattan Bridge Bike Comprehensive,146261,2014,5
Manhattan Bridge Bike Comprehensive,158532,2014,6
Manhattan Bridge Bike Comprehensive,158066,2014,7
Manhattan Bridge Bike Comprehensive,165070,2014,8
Manhattan Bridge Bike Comprehensive,161385,2014,9
Manhattan Bridge Bike Comprehensive,136237,2014,10
Manhattan Bridge Bike Comprehensive,79779,2014,11
Manhattan Bridge Bike Comprehensive,55037,2014,12
Manhattan Bridge Bike Comprehensive,34356,2015,1
Manhattan Bridge Bike Comprehensive,18990,2015,2
Manhattan Bridge Bike Comprehensive,50335,2015,3
Manhattan Bridge Bike Comprehensive,121476,2015,4
Manhattan Bridge Bike Comprehensive,175792,2015,5
Manhattan Bridge Bike Comprehensive,149589,2015,6
Manhattan Bridge Bike Comprehensive,161656,2015,7
Manhattan Bridge Bike Comprehensive,167785,2015,8
Manhattan Bridge Bike Comprehensive,161793,2015,9
Manhattan Bridge Bike Comprehensive,133520,2015,10
Manhattan Bridge Bike Comprehensive,103058,2015,11
Manhattan Bridge Bike Comprehensive,76107,2015,12
Manhattan Bridge Bike Comprehensive,46014,2016,1
Manhattan Bridge Bike Comprehensive,49088,2016,2
Manhattan Bridge Bike Comprehensive,102369,2016,3
Manhattan Bridge Bike Comprehensive,116920,2016,4
Manhattan Bridge Bike Comprehensive,138717,2016,5
Manhattan Bridge Bike Comprehensive,174319,2016,6
Manhattan Bridge Bike Comprehensive,148319,2016,7
Manhattan Bridge Bike Comprehensive,157245,2016,8
Manhattan Bridge Bike Comprehensive,166614,2016,9
Manhattan Bridge Bike Comprehensive,140417,2016,10
Manhattan Bridge Bike Comprehensive,101994,2016,11
Manhattan Bridge Bike Comprehensive,60957,2016,12
Manhattan Bridge Bike Comprehensive,54869,2017,1
Manhattan Bridge Bike Comprehensive,67745,2017,2
Manhattan Bridge Bike Comprehensive,59419,2017,3
Manhattan Bridge Bike Comprehensive,125232,2017,4
Manhattan Bridge Bike Comprehensive,147676,2017,5
Manhattan Bridge Bike Comprehensive,166697,2017,6
Manhattan Bridge Bike Comprehensive,160689,2017,7
Manhattan Bridge Bike Comprehensive,169655,2017,8
Manhattan Bridge Bike Comprehensive,168701,2017,9
Manhattan Bridge Bike Comprehensive,156712,2017,10
Manhattan Bridge Bike Comprehensive,101312,2017,11
Manhattan Bridge Bike Comprehensive,61129,2017,12
Manhattan Bridge Bike Comprehensive,47658,2018,1
Manhattan Bridge Bike Comprehensive,61253,2018,2
Manhattan Bridge Bike Comprehensive,66652,2018,3
Manhattan Bridge Bike Comprehensive,103181,2018,4
Manhattan Bridge Bike Comprehensive,165112,2018,5
Manhattan Bridge Bike Comprehensive,167155,2018,6
Manhattan Bridge Bike Comprehensive,152359,2018,7
Manhattan Bridge Bike Comprehensive,152208,2018,8
Manhattan Bridge Bike Comprehensive,136681,2018,9
Manhattan Bridge Bike Comprehensive,144631,2018,10
Manhattan Bridge Bike Comprehensive,84183,2018,11
Manhattan Bridge Bike Comprehensive,64871,2018,12
Manhattan Bridge Bike Comprehensive,59455,2019,1
Manhattan Bridge Bike Comprehensive,57232,2019,2
Manhattan Bridge Bike Comprehensive,83482,2019,3
Manhattan Bridge Bike Comprehensive,129394,2019,4
Manhattan Bridge Bike Comprehensive,133906,2019,5
Manhattan Bridge Bike Comprehensive,137072,2019,6
Manhattan Bridge Bike Comprehensive,143585,2019,7
Manhattan Bridge Bike Comprehensive,153611,2019,8
Manhattan Bridge Bike Comprehensive,160842,2019,9
Manhattan Bridge Bike Comprehensive,129658,2019,10
Manhattan Bridge Bike Comprehensive,92154,2019,11
Manhattan Bridge Bike Comprehensive,51462,2019,12
Manhattan Bridge Bike Comprehensive,75852,2020,1
Manhattan Bridge Bike Comprehensive,65966,2020,2
Manhattan Bridge Bike Comprehensive,87907,2020,3
Manhattan Bridge Bike Comprehensive,56735,2020,4
Manhattan Bridge Bike Comprehensive,118840,2020,5
Manhattan Bridge Bike Comprehensive,161301,2020,6
Manhattan Bridge Bike Comprehensive,166891,2020,7
Manhattan Bridge Bike Comprehensive,179327,2020,8
Manhattan Bridge Bike Comprehensive,199201,2020,9
Manhattan Bridge Bike Comprehensive,175780,2020,10
Manhattan Bridge Bike Comprehensive,135962,2020,11
Manhattan Bridge Bike Comprehensive,82539,2020,12
Manhattan Bridge Bike Comprehensive,81672,2021,1
Manhattan Bridge Bike Comprehensive,42538,2021,2
Manhattan Bridge Bike Comprehensive,108479,2021,3
Manhattan Bridge Bike Comprehensive,134551,2021,4
Manhattan Bridge Bike Comprehensive,167456,2021,5
